Sample,Rootstock,SeqSample,TreeNumber,YearSampled,SequencingRun,ARD
3G28B_2023,G935,3G28,134,2023,2,resistant
3G29B_2023,G935,3G29,173,2023,2,resistant
3G30B_2023,G935,3G30,224,2023,2,resistant
3G31B_2023,G969,3G31,41,2023,2,resistant
3G32B_2023,G969,3G32,62,2023,2,resistant
3G33B_2023,G969,3G33,113,2023,2,resistant
3G34B_2023,G969,3G34,146,2023,2,resistant
3G35B_2023,G969,3G35,194,2023,2,resistant
3M1B_2023,M9337,3M1,11,2023,2,susceptible
3M2B_2023,M9337,3M2,74,2023,2,susceptible
3M3B_2023,M9337,3M3,104,2023,2,susceptible
3M4B_2023,M9337,3M4,176,2023,2,susceptible
3M5B_2023,M9337,3M5,215,2023,2,susceptible
3N1B_2023,M9Nic29,3N1,29,2023,2,susceptible
3N2B_2023,M9Nic29,3N2,50,2023,2,susceptible
3N3B_2023,M9Nic29,3N3,107,2023,2,susceptible
3N4B_2023,M9Nic29,3N4,152,2023,2,susceptible
3N5B_2023,M9Nic29,3N5,191,2023,2,susceptible
3P1B_2023,M9pajam2,3P1,14,2023,2,susceptible
3P2B_2023,M9pajam2,3P2,71,2023,2,susceptible
3P3B_2023,M9pajam2,3P3,98,2023,2,susceptible
3P4B_2023,M9pajam2,3P4,149,2023,2,susceptible
3P5B_2023,M9pajam2,3P5,206,2023,2,susceptible
3L1B_2023,M7,3L1,44,2023,2,susceptible
3L2B_2023,M7,3L2,65,2023,2,susceptible
3L3B_2023,M7,3L3,128,2023,2,susceptible
3L4B_2023,M7,3L4,155,2023,2,susceptible
3L5B_2023,M7,3L5,197,2023,2,susceptible
3V1B_2023,V1,3V1,35,2023,2,unknown
3V2B_2023,V1,3V2,53,2023,2,unknown
3V3B_2023,V1,3V3,92,2023,2,unknown
3V4B_2023,V1,3V4,140,2023,2,unknown
3V5B_2023,V1,3V5,188,2023,2,unknown
3G36B_2023,G210,3G36,26,2023,2,resistant
3G37B_2023,G210,3G37,47,2023,2,resistant
3G38B_2023,G210,3G38,95,2023,2,resistant
3G39B_2023,G210,3G39,137,2023,2,resistant
3G40B_2023,G210,3G40,200,2023,2,resistant
3S1B_2023,Soil,S1,Row1,2023,2,NA
3S2B_2023,Soil,S2,Row2,2023,2,NA
3S3B_2023,Soil,S3,Row3,2023,2,NA
3S4B_2023,Soil,S4,Row4,2023,2,NA
3S5B_2023,Soil,S5,Row5,2023,2,NA
