Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Plate2_G03_L2B_10471048_DMT79_R1	Plate2_G03_L2B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3873.0	972.1 kbp	0.0	251.0	56.0	24.941905499612705	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate2_G03_L2B_10471048_DMT79_R2	Plate2_G03_L2B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3873.0	972.1 kbp	0.0	251.0	54.0	17.867286341337465	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate2_G04_L3B_10471048_DMT79_R1	Plate2_G04_L3B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4277.0	1 Mbp	0.0	251.0	54.0	15.52490063128361	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate2_G04_L3B_10471048_DMT79_R2	Plate2_G04_L3B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4277.0	1 Mbp	0.0	251.0	52.0	11.503390226794483	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate2_G05_L4B_10471048_DMT79_R1	Plate2_G05_L4B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3996.0	1 Mbp	0.0	251.0	57.0	32.95795795795796	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate2_G05_L4B_10471048_DMT79_R2	Plate2_G05_L4B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3996.0	1 Mbp	0.0	251.0	55.0	25.075075075075077	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate2_G06_L5B_10471048_DMT79_R1	Plate2_G06_L5B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3655.0	917.4 kbp	0.0	251.0	55.0	22.43502051983584	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate2_G06_L5B_10471048_DMT79_R2	Plate2_G06_L5B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3655.0	917.4 kbp	0.0	251.0	53.0	18.57729138166895	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate2_G07_V1B_10471048_DMT79_R1	Plate2_G07_V1B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3603.0	904.3 kbp	0.0	251.0	57.0	31.751318345822927	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate2_G07_V1B_10471048_DMT79_R2	Plate2_G07_V1B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3603.0	904.3 kbp	0.0	251.0	55.0	24.701637524285317	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate2_G08_V2B_10471048_DMT79_R1	Plate2_G08_V2B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3014.0	756.5 kbp	0.0	251.0	57.0	35.4014598540146	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate2_G08_V2B_10471048_DMT79_R2	Plate2_G08_V2B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3014.0	756.5 kbp	0.0	251.0	55.0	28.931652289316524	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate2_G09_V3B_10471048_DMT79_R1	Plate2_G09_V3B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2838.0	712.3 kbp	0.0	251.0	57.0	36.57505285412262	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate2_G09_V3B_10471048_DMT79_R2	Plate2_G09_V3B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2838.0	712.3 kbp	0.0	251.0	55.0	28.012684989429175	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate2_G10_V4B_10471048_DMT79_R1	Plate2_G10_V4B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3558.0	893 kbp	0.0	251.0	57.0	33.7549184935357	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate2_G10_V4B_10471048_DMT79_R2	Plate2_G10_V4B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3558.0	893 kbp	0.0	251.0	55.0	24.480044969083757	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
