Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Plate3_B01_3G3B_10471048_DMT79_R1	Plate3_B01_3G3B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4096.0	1 Mbp	0.0	251.0	57.0	34.08203125	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate3_B01_3G3B_10471048_DMT79_R2	Plate3_B01_3G3B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4096.0	1 Mbp	0.0	251.0	55.0	27.783203125	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_B02_3G4B_10471048_DMT79_R1	Plate3_B02_3G4B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4009.0	1 Mbp	0.0	251.0	57.0	37.29109503616862	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_B02_3G4B_10471048_DMT79_R2	Plate3_B02_3G4B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4009.0	1 Mbp	0.0	251.0	55.0	28.660513843851334	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_B03_3G5B_10471048_DMT79_R1	Plate3_B03_3G5B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3925.0	985.1 kbp	0.0	251.0	58.0	34.191082802547776	251.0	251	pass	fail	fail	pass	fail	pass	fail	pass	fail	fail	pass
Plate3_B03_3G5B_10471048_DMT79_R2	Plate3_B03_3G5B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3925.0	985.1 kbp	0.0	251.0	56.0	30.343949044585987	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_B04_3G6B_10471048_DMT79_R1	Plate3_B04_3G6B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4216.0	1 Mbp	0.0	251.0	58.0	36.26660341555977	251.0	251	pass	fail	fail	pass	fail	pass	fail	pass	fail	warn	pass
Plate3_B04_3G6B_10471048_DMT79_R2	Plate3_B04_3G6B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4216.0	1 Mbp	0.0	251.0	55.0	26.49430740037951	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_B05_3G7B_10471048_DMT79_R1	Plate3_B05_3G7B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3926.0	985.4 kbp	0.0	251.0	57.0	35.60876209882832	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_B05_3G7B_10471048_DMT79_R2	Plate3_B05_3G7B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3926.0	985.4 kbp	0.0	251.0	55.0	26.566479877738157	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_B06_3G8B_10471048_DMT79_R1	Plate3_B06_3G8B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3937.0	988.1 kbp	0.0	251.0	57.0	36.19507239014478	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_B06_3G8B_10471048_DMT79_R2	Plate3_B06_3G8B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3937.0	988.1 kbp	0.0	251.0	55.0	26.593853187706372	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_B07_3G9B_10471048_DMT79_R1	Plate3_B07_3G9B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3535.0	887.2 kbp	0.0	251.0	58.0	37.65205091937765	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_B07_3G9B_10471048_DMT79_R2	Plate3_B07_3G9B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3535.0	887.2 kbp	0.0	251.0	56.0	26.506364922206505	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_B08_3G10B_10471048_DMT79_R1	Plate3_B08_3G10B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3787.0	950.5 kbp	0.0	251.0	58.0	35.75389490361764	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_B08_3G10B_10471048_DMT79_R2	Plate3_B08_3G10B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3787.0	950.5 kbp	0.0	251.0	56.0	27.77924478479007	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_B09_3G11B_10471048_DMT79_R1	Plate3_B09_3G11B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4332.0	1 Mbp	0.0	251.0	58.0	35.364727608494924	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_B09_3G11B_10471048_DMT79_R2	Plate3_B09_3G11B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4332.0	1 Mbp	0.0	251.0	56.0	26.73130193905817	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_B10_3G12B_10471048_DMT79_R1	Plate3_B10_3G12B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3756.0	942.7 kbp	0.0	251.0	57.0	34.93077742279021	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_B10_3G12B_10471048_DMT79_R2	Plate3_B10_3G12B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3756.0	942.7 kbp	0.0	251.0	55.0	27.12992545260916	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_B11_3G13B_10471048_DMT79_R1	Plate3_B11_3G13B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3918.0	983.4 kbp	0.0	251.0	58.0	36.268504338948446	251.0	251	pass	fail	fail	pass	fail	pass	fail	pass	fail	fail	pass
Plate3_B11_3G13B_10471048_DMT79_R2	Plate3_B11_3G13B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3918.0	983.4 kbp	0.0	251.0	55.0	28.22868810617662	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_B12_3G14B_10471048_DMT79_R1	Plate3_B12_3G14B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4826.0	1.2 Mbp	0.0	251.0	57.0	35.06009117281393	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_B12_3G14B_10471048_DMT79_R2	Plate3_B12_3G14B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4826.0	1.2 Mbp	0.0	251.0	55.0	26.688769167012016	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_C01_3G15B_10471048_DMT79_R1	Plate3_C01_3G15B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3553.0	891.8 kbp	0.0	251.0	57.0	37.742752603433715	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_C01_3G15B_10471048_DMT79_R2	Plate3_C01_3G15B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3553.0	891.8 kbp	0.0	251.0	55.0	30.59386433999437	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_C02_3G16B_10471048_DMT79_R1	Plate3_C02_3G16B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4110.0	1 Mbp	0.0	251.0	57.0	34.79318734793188	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_C02_3G16B_10471048_DMT79_R2	Plate3_C02_3G16B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4110.0	1 Mbp	0.0	251.0	55.0	29.245742092457423	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_C03_3G17B_10471048_DMT79_R1	Plate3_C03_3G17B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3984.0	999.9 kbp	0.0	251.0	57.0	34.83935742971887	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_C03_3G17B_10471048_DMT79_R2	Plate3_C03_3G17B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3984.0	999.9 kbp	0.0	251.0	55.0	30.49698795180723	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_C04_3G18B_10471048_DMT79_R1	Plate3_C04_3G18B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3538.0	888 kbp	0.0	251.0	58.0	36.82871678914641	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_C04_3G18B_10471048_DMT79_R2	Plate3_C04_3G18B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3538.0	888 kbp	0.0	251.0	55.0	26.39909553420011	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_C05_3G19B_10471048_DMT79_R1	Plate3_C05_3G19B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4677.0	1.1 Mbp	0.0	251.0	57.0	33.54714560615779	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_C05_3G19B_10471048_DMT79_R2	Plate3_C05_3G19B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4677.0	1.1 Mbp	0.0	251.0	55.0	25.742997648064996	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_C06_3G20B_10471048_DMT79_R1	Plate3_C06_3G20B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4374.0	1 Mbp	0.0	251.0	57.0	33.904892546867856	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_C06_3G20B_10471048_DMT79_R2	Plate3_C06_3G20B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4374.0	1 Mbp	0.0	251.0	55.0	26.474622770919066	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_C07_3G21B_10471048_DMT79_R1	Plate3_C07_3G21B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2863.0	718.6 kbp	0.0	251.0	58.0	37.443241355221794	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_C07_3G21B_10471048_DMT79_R2	Plate3_C07_3G21B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2863.0	718.6 kbp	0.0	251.0	55.0	28.780998952148096	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_C08_3G22B_10471048_DMT79_R1	Plate3_C08_3G22B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3241.0	813.4 kbp	0.0	251.0	58.0	36.84048133292194	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_C08_3G22B_10471048_DMT79_R2	Plate3_C08_3G22B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3241.0	813.4 kbp	0.0	251.0	56.0	30.33014501697007	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_C09_3G23B_10471048_DMT79_R1	Plate3_C09_3G23B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4317.0	1 Mbp	0.0	251.0	57.0	32.70789900393792	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_C09_3G23B_10471048_DMT79_R2	Plate3_C09_3G23B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4317.0	1 Mbp	0.0	251.0	55.0	24.83205930044012	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_C10_3G24B_10471048_DMT79_R1	Plate3_C10_3G24B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3621.0	908.8 kbp	0.0	251.0	57.0	35.73598453465893	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_C10_3G24B_10471048_DMT79_R2	Plate3_C10_3G24B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3621.0	908.8 kbp	0.0	251.0	55.0	28.555647611157138	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_C11_3G25B_10471048_DMT79_R1	Plate3_C11_3G25B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3412.0	856.4 kbp	0.0	251.0	58.0	35.58030480656507	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_C11_3G25B_10471048_DMT79_R2	Plate3_C11_3G25B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3412.0	856.4 kbp	0.0	251.0	56.0	30.656506447831184	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_C12_3G26B_10471048_DMT79_R1	Plate3_C12_3G26B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4039.0	1 Mbp	0.0	251.0	58.0	36.76652636791285	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_C12_3G26B_10471048_DMT79_R2	Plate3_C12_3G26B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4039.0	1 Mbp	0.0	251.0	55.0	28.026739291903937	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_D01_3G27B_10471048_DMT79_R1	Plate3_D01_3G27B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4763.0	1.1 Mbp	0.0	251.0	57.0	34.11715305479739	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_D01_3G27B_10471048_DMT79_R2	Plate3_D01_3G27B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4763.0	1.1 Mbp	0.0	251.0	55.0	28.784379592693682	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_D02_3G28B_10471048_DMT79_R1	Plate3_D02_3G28B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4459.0	1.1 Mbp	0.0	251.0	57.0	33.86409508858488	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_D02_3G28B_10471048_DMT79_R2	Plate3_D02_3G28B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4459.0	1.1 Mbp	0.0	251.0	55.0	28.48172235927338	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_D03_3G29B_10471048_DMT79_R1	Plate3_D03_3G29B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4000.0	1 Mbp	0.0	251.0	58.0	34.150000000000006	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_D03_3G29B_10471048_DMT79_R2	Plate3_D03_3G29B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4000.0	1 Mbp	0.0	251.0	55.0	32.1	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_D04_3G30B_10471048_DMT79_R1	Plate3_D04_3G30B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4997.0	1.2 Mbp	0.0	251.0	58.0	31.278767260356215	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_D04_3G30B_10471048_DMT79_R2	Plate3_D04_3G30B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4997.0	1.2 Mbp	0.0	251.0	56.0	24.474684810886533	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_D05_3G31B_10471048_DMT79_R1	Plate3_D05_3G31B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4661.0	1.1 Mbp	0.0	251.0	57.0	30.744475434456124	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_D05_3G31B_10471048_DMT79_R2	Plate3_D05_3G31B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4661.0	1.1 Mbp	0.0	251.0	55.0	25.31645569620253	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_D06_3G32B_10471048_DMT79_R1	Plate3_D06_3G32B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4510.0	1.1 Mbp	0.0	251.0	57.0	31.9290465631929	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_D06_3G32B_10471048_DMT79_R2	Plate3_D06_3G32B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4510.0	1.1 Mbp	0.0	251.0	55.0	27.206208425720618	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_D07_3G33B_10471048_DMT79_R1	Plate3_D07_3G33B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3726.0	935.2 kbp	0.0	251.0	58.0	34.433709071390226	251.0	251	pass	fail	fail	pass	fail	pass	fail	pass	fail	fail	pass
Plate3_D07_3G33B_10471048_DMT79_R2	Plate3_D07_3G33B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3726.0	935.2 kbp	0.0	251.0	56.0	28.529253891572733	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_D08_3G34B_10471048_DMT79_R1	Plate3_D08_3G34B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3958.0	993.4 kbp	0.0	251.0	57.0	32.74381000505306	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_D08_3G34B_10471048_DMT79_R2	Plate3_D08_3G34B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3958.0	993.4 kbp	0.0	251.0	56.0	26.35169277412835	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_D09_3G35B_10471048_DMT79_R1	Plate3_D09_3G35B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4197.0	1 Mbp	0.0	251.0	58.0	35.43006909697403	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_D09_3G35B_10471048_DMT79_R2	Plate3_D09_3G35B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4197.0	1 Mbp	0.0	251.0	56.0	28.043840838694305	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_D10_3M1B_10471048_DMT79_R1	Plate3_D10_3M1B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4221.0	1 Mbp	0.0	251.0	58.0	33.7834636342099	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_D10_3M1B_10471048_DMT79_R2	Plate3_D10_3M1B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4221.0	1 Mbp	0.0	251.0	56.0	28.903103529969204	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_D11_3M2B_10471048_DMT79_R1	Plate3_D11_3M2B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3782.0	949.2 kbp	0.0	251.0	58.0	33.07773664727657	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_D11_3M2B_10471048_DMT79_R2	Plate3_D11_3M2B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3782.0	949.2 kbp	0.0	251.0	56.0	30.592279217345318	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_D12_3M3B_10471048_DMT79_R1	Plate3_D12_3M3B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4298.0	1 Mbp	0.0	251.0	57.0	33.34108887854816	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_D12_3M3B_10471048_DMT79_R2	Plate3_D12_3M3B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4298.0	1 Mbp	0.0	251.0	55.0	27.45463006049325	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_E01_3M4B_10471048_DMT79_R1	Plate3_E01_3M4B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4785.0	1.2 Mbp	0.0	251.0	57.0	35.318704284221525	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_E01_3M4B_10471048_DMT79_R2	Plate3_E01_3M4B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4785.0	1.2 Mbp	0.0	251.0	55.0	27.105538140020897	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_E02_3M5B_10471048_DMT79_R1	Plate3_E02_3M5B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5417.0	1.3 Mbp	0.0	251.0	57.0	31.216540520583347	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_E02_3M5B_10471048_DMT79_R2	Plate3_E02_3M5B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5417.0	1.3 Mbp	0.0	251.0	55.0	25.253830533505628	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_E03_3N1B_10471048_DMT79_R1	Plate3_E03_3N1B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3516.0	882.5 kbp	0.0	251.0	58.0	36.00682593856656	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate3_E03_3N1B_10471048_DMT79_R2	Plate3_E03_3N1B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3516.0	882.5 kbp	0.0	251.0	56.0	31.342434584755402	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_E04_3N2B_10471048_DMT79_R1	Plate3_E04_3N2B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4744.0	1.1 Mbp	0.0	251.0	58.0	33.66357504215852	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_E04_3N2B_10471048_DMT79_R2	Plate3_E04_3N2B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4744.0	1.1 Mbp	0.0	251.0	55.0	25.21079258010118	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_E05_3N3B_10471048_DMT79_R1	Plate3_E05_3N3B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3778.0	948.2 kbp	0.0	251.0	57.0	34.065643197458975	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_E05_3N3B_10471048_DMT79_R2	Plate3_E05_3N3B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3778.0	948.2 kbp	0.0	251.0	55.0	26.52196929592377	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_E06_3N4B_10471048_DMT79_R1	Plate3_E06_3N4B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4002.0	1 Mbp	0.0	251.0	57.0	35.33233383308346	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate3_E06_3N4B_10471048_DMT79_R2	Plate3_E06_3N4B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4002.0	1 Mbp	0.0	251.0	55.0	27.48625687156422	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_E07_3N5B_10471048_DMT79_R1	Plate3_E07_3N5B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3773.0	947 kbp	0.0	251.0	58.0	37.47680890538033	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_E07_3N5B_10471048_DMT79_R2	Plate3_E07_3N5B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3773.0	947 kbp	0.0	251.0	56.0	27.378743705274317	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_E08_3P1B_10471048_DMT79_R1	Plate3_E08_3P1B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3076.0	772 kbp	0.0	251.0	58.0	36.63849154746424	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_E08_3P1B_10471048_DMT79_R2	Plate3_E08_3P1B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3076.0	772 kbp	0.0	251.0	56.0	29.55136540962289	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_E09_3P2B_10471048_DMT79_R1	Plate3_E09_3P2B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4556.0	1.1 Mbp	0.0	251.0	58.0	33.3406496927129	251.0	251	pass	fail	fail	pass	fail	pass	fail	pass	fail	fail	pass
Plate3_E09_3P2B_10471048_DMT79_R2	Plate3_E09_3P2B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4556.0	1.1 Mbp	0.0	251.0	56.0	25.395083406496926	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_E10_3P3B_10471048_DMT79_R1	Plate3_E10_3P3B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3440.0	863.4 kbp	0.0	251.0	57.0	37.616279069767444	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
